Auteur(s),Titre,Edition,Date,ISBN
carême protestant 2004 sur France Culture,Les Béatitudes ou l'hymne à la joie (Carême 2004),Bergers Mages,2005,9782853041911
Tome I : Jean Grüninger. Vol. I : 1501-1506,"La gravure d'illustration en Alsace au XVIe siècle.

I, Jean Gruninger - La gravure d'illustration en Alsace au 16e siècle",Presses Universitaires de Strasbourg,1995,9782868207401
De Hiroyuki Takei,"Shaman king.

3 - Shaman king Tome III",Traduit par Sébastien Gesell,2000,9782871292791
Kraftner,Classicism and Biedermeier /anglais,Prestel,2005,9783791331461
récit,Le Système périodique,Traduit par André Mauge,1995,9782253932291
Xxx,Les Avions Et Autres Objets Volants,Hatier Jeunesse,458 g,"
Hatier Jeunesse
"
De Serge Perrotin,"Lance Crow Dog.

3 - Lance Crow Dog T3/La Voie Des Etoiles",Illustrations de Gaël SÉJOURNÉ,"
Lance Crow Dog.
                
                (3)
              ",SOLEIL PRODUCTIONS
Livre,Volume Introduction Au Thai,Assimil,1996,9782700501551
roman,Le cœur en poche,Mercure de France,1988,9782715215221
Collectif,Revue 303 N 72,Revue 303,"3 x 2,2 cm",3357320201721
Xxx,Almanach Poitevin,Communication Presse éditions – CPE,1999,9782845030381
De Georges Jawdat Dwailibi,La rivalité entre le clergé religieux et la famille royale au royaume d'Arabie Saoudite,Publibook,2006,9782748332551
De Musée national Fernand Léger,charlotte perriand fernand leg,Réunion des Musées Nationaux,62,"
Réunion des Musées Nationaux
"
Alphonse de Lamartine,Jocelyn,Flammarion,1993,9782080701381
"60 recettes originales, pâtes farcies, sauces",Pates,Illustrations de Alain Muriot,2004,9782082012881
De Christophe Honoré,Toute petite histoire d amour (Une),École des Loisirs,1998,9782211051491
suivi de Passion des corps,La Belle et La Bête,Autres contributions de Claude-Christine Farny,1984,9782721002631
De Tom Stoppard,Arcadia,Traduit par Jean-Marie Besset,1999,9782742714841
"Volume 1, Volume 1",Jeux  1 Gs Maternelle Et Cp,Milan,"22 x 0,3 cm",MILAN
maurois andre,Mémoires maurois  al,Flammarion,2006,9782082304771
De Asger Jorn,Fin de Copenhague,Contributions de Guy Debord,2001,9782844850591
roman,soleil a l'autre (d'un),Mot Passant,2004,9782912506641
De Dominique Nisen,Divines Parures,Tutti frutti,2005,9782915667141
comment retrouver son pouvoir souverain,Debout les petits Dieux,Vivez Soleil,447,"
Vivez Soleil
"
Po,Indian Style-Trilingue,Taschen,2008,9783836507691
De Laure Alhi,Cambre Toi,Vauvenargues,90 g,VAUVENARGUES
Birdy the mighty,2 - Tetsuwan Birdy,Traduit par Vincent Zouzoulkovsky,"
Tetsuwan Birdy
                
                (2)
              ","
Pika éditions
"
Le Retour des vikings,"Chroniques barbares.

4 - Chroniques barbares T04",Soleil,"
Chroniques barbares.
                
                (4)
              ","
Soleil
"
Watkins Richard,Best Of Prague 3Ed -Anglais-,Lonely Planet,128,LONELY PLANET
De Nicole Bailey,Boîte 10 volumes - 69 secrets pour pimenter vie sexuelle,Solar,2005,9782263038891
De LeAnne Howe,Equinoxes rouges,Traduit par Danièle Laruelle,2004,9782268051901
