titre_du_document;titre_secondaire;type_de_document;auteur;lieu_d_edition;editeur;annee_d_edition;isbn;issn;langue;collation;collection;numero_de_collection;cote;mots_cles;volume;numero_de_parution;date_de_parution;date_de_derniere_mise_a_jour
Ecologie et politique;Le progrès peut-il être durable ?;Ouvrage;;La Tour d'Aigues;Editions de l'Aube;2014;978-2-8159-1188-7;;;123 p.;;;327 CHA;ENVIRONNEMENT/ECOLOGIE/ECOLOGIE POLITIQUE/DEVELOPPEMENT DURABLE/POLITIQUE/PAYS DE LA LOIRE/TERRITOIRES;;;;2016-07-25
Le droit public de la culture;;Ouvrage;AUBY Jean-François;Paris;Berger-Levrault;2016;978-2-7013-1880-6;;;398 p.;LES INDISPENSABLES;;61 AUB;CULTURE/DROIT DE LA CULTURE/LIBERTE CULTURELLE/SERVICE CUTUREL/POLITIQUE CULTURELLE/BIEN CULTUREL/PATRIMOINE IMMATERIEL/PATRIMOINE MATERIEL/ENSEIGNEMENT CULTUREL/METIER DU PATRIMOINE/PATRIMOINE;;;;2016-06-14
Le tour de France des alternatives;;Ouvrage;DANIEL Emmanuel;Paris;Seuil;2014;978-2-02-118608-6;;;133 p.;REPORTERRE;;143 DAN;SOCIETE/MODE DE VIE/INNOVATION;;;;2016-06-13
Vingt-cinq années de transport intérieur de voyageurs;;Ouvrage format pdf;;Paris;Commissariat général au développement durable;2016;;;;44 P.;ETUDES ET DOCUMENTS;N°148;33 MIN;TRANSPORT/TRANSPORT COLLECTIF/TRANSPORT INDIVIDUEL/TRANSPORT MARITIME/TRANSPORT FERROVIAIRE/TGV/TRANSPORT DE VOYAGEURS/STATISTIQUE;;;;2016-06-06
Droit public;;Ouvrage;ZARKA Jean-Claude;Paris;Gualino;2015;978-2-297-05237-5;;;268 p.;MEMENTOS LMD;;2 ZAR;INSTITUTIONS/ADMINISTRATION/DROIT PUBLIC/CONCOURS/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE A/DROIT CONSTITUTIONNEL/DROIT ADMINISTRATIF/DROIT DE L'UNION EUROPEENNE/DROIT DE LA FONCTION PUBLIQUE/FINANCES PUBLIQUES/FINANCES SOCIALES;;;;2016-03-03
Leadership et intelligence des conflits;Adopter des comportements efficaces en situation conflictuelle grâce au Dynamic Conflit Model (DCM);Ouvrage;RUNDE Graig/FLANAGAN Tim;Paris;InterEditions;2014;978-2-7296-1408-9;;;259 p.;;;1414 RUN;SOCIETE/SCIENCES HUMAINES/LEADER/RESSOURCES HUMAINES/CONFLIT/EMOTION/GESTION DES CONFLITS;;;;2016-11-02
Les métiers qui embauchent;;Revue;Collectif;Paris;Alternatives Economiques;2016;978-2-352-40147-6;;;98 p.;ALTERNATIVES ECONOMIQUES DOSSIERS;N°3;141 COL;SOCIETE/TRAVAIL/EMPLOI/METIER/METIER DE DEMAIN/OUVRIER/RETRAITE/INDUSTRIE DU BATIMENT/BATIMENT/COMMERCE DE GROS/SERVICE/SERVICE A LA PERSONNE/SOIN/OFFRE DE FORMATION/MARCHE DU TRAVAIL/RECRUTEMENT/CONDITIONS DE TRAVAIL/TRAVAIL NON QUALIFIE/TRAVAIL TEMPORAIRE/EMPLOI-JEUNE/METIER QUALIFIE/SERVICE MARCHAND/EMPLOI INDUSTRIEL/EMPLOI TERTIAIRE/PROFESSION DE SANTE/EMPLOI SAISONNIER/EMPLOI FEMININ/REGION PACA/REGION RHONE ALPES/INDUSTRIE MECANIQUE/MECANIQUE/METIER DE LA PROPRETE/BIG DATA/METIER DE L'INFORMATIQUE/APPRENTISSAGE/CHOMAGE;;;;2016-11-01
L'Union européenne;;Ouvrage;CLERGERIE Jean-Louis/GRUBER Annie/RAMBAUD Patrick;Paris;DALLOZ;2016;978-2-247-16272-7;;;1160 p.;PRECIS;;811 CLE;EUROPE/UNION EUROPEENNE/INSTITUTION EUROPEENNE/POLITIQUE COMMUNE/CITOYENNETE EUROPENNE/POLITIQUE DE L'UNION EUROPEENNE/UNION ECONOMIQUE ET MONETAIRE/POLITIQUE ETRANGERE/POLITIQUE ETRANGERE ET DE SECURITE COMMUNE/MARCHE INTERIEUR/COOPERATION POLITIQUE/POLITIQUE EXTERIEURE;;;;2016-12-19
L'essentiel de la note de synthèse;;Ouvrage;DEYRA Michel;Paris;Gualino, Lextenso;2015;978-2-297-04804-0;;Français;86 p.;LES CARRES;;25 DEY;ADMINISTRATION/CONCOURS/CONCOURS ADMINISTRATIF/EPREUVE ECRITE/NOTE DE SYNTHESE;;;;2015-09-28
Villes inondables cities and flooding;Prévention, adaptation, résilience;Ouvrage;;Marseille;Parenthèses;2014;978-2-86364-237-5;;;279 p.;LA VILLE EN TRAIN DE SE FAIRE;;3215 TER;ENVIRONNEMENT/RISQUE/RISQUE NATUREL/ZONE A RISQUE/INONDATION/POPSU/ZONE INONDABLE/ROTTERDAM/DORDRECHT/DUNKERQUE/HAMBOURG/MAYENCE/LYON/NIMES/MARSEILLE/TOULOUSE/CLIMAT/VILLE;;;;2015-06-19
Manuel de culture territoriale;;Manuel;BIORET David/LAMULLE Thierry/LARRALDE Jean-Manuel/LECLERC Stéphane;Paris;Hachette;2015;978-2-01-270665-1;;;254 p.;OBJECTIF CONCOURS;;24 BIO;COLLECTIVITES TERRITORIALES/CONCOURS/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE A/CONCOURS DE CATEGORIE B;;;;2015-07-04
Quel monde en 2015 ?;;Revue;Collectif;Paris;Alternatives internationales;2015;;;Français;113 P.;ALTERNATIVES INTERNATIONALES;;83 COL;QUESTIONS INTERNATIONALES/QUESTIONS MONDIALES/MONDE;;N°14;janv-14;2015-01-29
L'autonomie financière territoriale;Un paradigme planétaire revisité;Ouvrage;;Paris;L'Harmattan;2014;978-2-343-03254-2;;;686 p.;;;272 MAR;BUDGET/FINANCES/FINANCES LOCALES/AUTONOMIE FINANCIERE/AUTONOMIE LOCALE/AUTONOMIE REGIONALE/COLLECTIVITES TERRITORIALES/FISCALITE LOCALE/LIBERALISME/LIBERALISME POLITIQUE/BUDGET LOCAL/ASSIETTE FISCALE/BUDGET DE L'ETAT/CONCOURS FINANCIERS/MAROC/CONGO/BELGIQUE/ESPAGNE/IMPOT;;;;2015-01-13
Le marketing territorial;Comment développer l'attractivité et l'hospitalité des territoires ?;Ouvrage;;Bruxelles;DE BOECK;2014;978-2-8041-8472-8;;;203 p.;;;3114 CHA;AMENAGEMENT DU TERRITOIRE/TERRITOIRE/MARKETING/MARKETING TERRITORIAL/ATTRACTIVITE TERRITORIALE/STRATEGIE/STRATEGIE TERRITORIALE/DIAGNOSTIC;;;;2015-12-01
Le temps des grâces;;DVD;MARCHAIS Dominique;;Capricci Films;2009;;;Français;;;;616;CULTURE/CINEMA/FILM/FILM DE LONG METRAGE/DVD/DOCUMENTAIRE;;;;2014-12-23
La transition écologique;;Dossier;Collectif;Nancy;Futuribles;2014;;0337-307X;;P.3-112;FUTURIBLES;;327 COL;ENVIRONNEMENT/ECOLOGIE/TRANSITION ECOLOGIQUE/GESTION DURABLE/CONSOMMATION/TRANSITION ENERGETIQUE/CHANGEMENT CLIMATIQUE/COMPORTEMENT ALIMENTAIRE/ECONOMIE CIRCULAIRE/RESSOURCES NATURELLES/2030/GESTION DES DECHETS;;N°403;Novembre-décembre 2014;2014-04-12
Attaché territorial 2018-2019;Tout-en-unExterne catégorie A;Ouvrage;GONNIN Gwénaël;Paris;Hachette;2018;978-2-01-701610-6;;;207 p.;OBJECTIF FONCTION PUBLIQUE;;252 GON;CONCOURS/CONCOURS ADMINISTRATIF/CONCOURS DE CATEGORIE A/CONCOURS INTERNE/ATTACHE TERRITORIAL/FONCTION PUBLIQUE TERRITORIALE/NOTE DE CADRAGE/ENTRETIEN;;;;2018-07-06
On ne réveille pas un fonctionnaire qui dort;;Ouvrage;MORIN Jérôme;Paris;L'Archipel;2014;978-2-8098-1383-8;;;203 p.;;;25 MOR;ADMINISTRATION/RESSOURCES HUMAINES/FONCTION PUBLIQUE/FONCTIONNAIRE/FONCTIONNAIRE TERRITORIAL;;;;2014-07-15
Le tsunami numérique;Education Tout va changer! Etes vous prêts ?;Ouvrage;DAVIDENKOFF Emmanuel;Paris;Stock;2014;978-2-234-06054-8;;;194 p.;;;511 DAV;EDUCATION/ENSEIGNEMENT/INTERNET/MOOC/MASSIVE OPEN ONLINE COURSES/PEDAGOGIE/COURS;;;;2015-01-10
Génération y;Les jeunes   et les réseaux sociaux, de la décision à la subversion;Ouvrage;DAGNAUD Monique;Paris;Les Presses de Sciences Po;2013;978-2-7246-1283-7;;Français;210 p.;NOUVEAUX DEBATS;N°29;143 DAG;SOCIOLOGIE/JEUNE/COMPORTEMENT/WEB/WEB SOCIAL/INTERNET/RESEAU SOCIAL/IMAGE/FACEBOOK/ADOLESCENT/PORNOGRAPHIE/BLOG/CYBERESPACE/4CHAN/LOL/NUMERIQUE;;;;2014-03-04
Cadres d'emploi de la fonction publique territoriale;Grilles indiciaires;Ouvrage;LAURENTIAUX Francis/;Voiron;Territorial Editions;2015;978-2-8186-0561-5;;Français;125 p.;Dossier d'experts;DE 752;252 LAU;FONCTION PUBLIQUE/FONCTION PUBLIQUE TERRITORIALE/CADRE D'EMPLOIS/TRAITEMENT INDICIAIRE;;;;2016-04-26
Guide de l'élu délégué au budget;;Ouvrage;CLEREMBAUX Joël;Voiron;Territorial Editions;2010;978-2-35295-914-4;;Français;124 p.;DOSSIER D'EXPERTS;;2411 CLE;ELU/ELU LOCAL/BUDGET/BUDGET LOCAL/BUDGET MUNICIPAL/ADJOINT AU MAIRE/CONSEILLER MUNICIPAL/DELEGATION DE FONCTION/DELEGATION DE SIGNATURE/DELEGATION DE COMPETENCE;;;;2010-03-08
La périurbanisation : problématiques et perspectives;;Ouvrage;ROUX Emmanuel/VANIER Martin;Paris;La Documentation française/DIACT;2008;978-2-11-007260-3;;Français;87 P.;TRAVAUX;N°8;312 ROU;AMENAGEMENT DU TERRITOIRE/DENSITE/DENSITE URBAINE/POLITIQUE URBAINE;;;;2010-12-07
Le capitalisme est-il durable ?;;Ouvrage;PERRET BERNARD;Paris;Carnets Nord;2008;978-2-35536-013-8;;Français;195 p.;;;412 PER;CAPITALISME/ECOLOGIE/ENVIRONNEMENT /CRISE ECOLOGIQUE /DEVELOPPEMENT DURABLE/ACTION COLLECTIVE/CONSOMMATION RESPONSABLE/ECONOMIE RESPONSABLE/ENERGIE NOUVELLE  /ECONOMIE POLITIQUE/;;;;2010-06-22
Epargnants solidaires;Une analyse économique de la finance solidaire en France et en Europe;Ouvrage;GLEMAIN Pascal;Rennes;Presses Universitaires de Rennes;2008;978-2-7535-0707-4;;Français;162 p.;Economie et société;;42 GLE;ECONOMIE/ECONOMIE SOLIDAIRE/EPARGNE SOLIDAIRE/MACRO ECONOMIE/MICROECONOMIE;;;;2010-06-17
Droit constitutionnel;;Ouvrage;PORTELLI HUGUES;Paris;DALLOZ;2009;978-2-247-08358-9;;Français;416 p.;HYPERCOURS COURS ET TRAVAUX DIRIGES;;221 POR;DROIT/DROIT CONSTITUTIONNEL/INSTITUTIONS/CINQUIEME REPUBLIQUE/VIE POLITIQUE/CONCOURS ADMINISTRATIF;;;;2010-02-02
Contrôle et évaluation des finances publiques;;Revue;WALINE Charles/DESROUSSEAUX Pascal/PELLE Bertrand;Paris;La Documentation française;2009;;1763-6191;Français;127 P.;ETUDES;N°5302;263 WAL;FINANCES PUBLIQUES/CONTROLE FINANCIER/CONTROLE INTERNE/CONTROLE BUDGETAIRE/JURIDICTION FINANCIERE/EVALUATION/CONTROLE PARLEMENTAIRE;;;;2010-02-02
L'état de la France : édition 2009-2010;Un panorama unique et complet de la France;Ouvrage;//Collectif;PARIS;La découverte;2009;978-2-7071-5796-6;;Français;447 p;;;1 COL;SOCIETE/CULTURE/FRANCE/ECONOMIE/POLITIQUE/TERRITOIRES/UNION EUROPEENNE;;;;2010-01-28
Comprendre enfin les sytèmes d'information;OrganisationManagementPilotageFinancement;Ouvrage;ASCHER Judith;Paris;La Documentation française;2009;9-782110-072207;;Français;119 p.;;;7253 ASC;TIC/SYSTEME D'INFORMATION/DEMATERIALISATION/GESTION DE L'INFORMATION/COLLECTIVITES TERRITORIALES;;;;2010-01-14
Le guide de la lecture rapide et efficace;Balayage, survol, lecture sélective;Ouvrage;LICETTE Charline;Levallois-Perret;Groupe Studyrama;2008;;;Français;239 p.;;;1414 LIC;LECTURE/LECTURE RAPIDE/LECTEUR/LIRE///////;;299;;2009-01-09
Les aéroports français face aux mutations du transport aérien;;Rapport;COUR DES COMPTES;Paris;La Documentation française;2008;;;Français;220 p.;Rapport public thématique;;3351 COU;INFRASTRUCTURES DE TRANSPORT/AEROPORT/AEROPORTS DE PARIS/TRANSPORT AERIEN/AEROPORT REGIONAL/ENVIRONNEMENT;;;;2009-07-22
La politique culturelle en France;;Revue;GREFFE Xavier/PFLIEGER Sylvie;Paris;La Documentation française;2009;;;Français;280 p.;Etudes de la Documentation française;;61 GRE;CULTURE/POLITIQUE CULTURELLE/CREATION CULTURELLE/PATRIMOINE CULTUREL/ACTION CULTURELLE;;N°5294-95-96;janv-09;2009-07-16
Sécurité et libertés publiques;;Dossier;Collectif;Paris;La Documentation française;2009;;;Français;p.5-69;Regards sur l'actualité;;144 COL;LIBERTES PUBLIQUES/FICHIER/FICHIER DE PERSONNES/FICHIER AUTOMATISE/PROTECTION DES PERSONNES/FICHIER EDVIRSP/VIDEOPROTECTION/DELINQUANCE/TERRORISME;;N°349;mars-09;2009-05-15
Pratique de la gestion matérielle d'un établissement public local d'enseignement;;Ouvrage;GAVARD Jean/GAZEILLES Philippe/MASLANKA Daniel/STIRNEMANN Jacques;Paris;Berger-Levrault;2014;;;Français;498 p.;Les indispensables;;511 GAV;EPLE/GESTION ADMINISTRATIVE/GESTION BUDGETAIRE/RESTAURATION/SECURITE/GESTION DE PERSONNEL/ETABLISSEMENT PUBLIC/EPLE;;;;2016-04-25
Marketing international;Un consommateur local dans un monde global;Ouvrage;CROUE Charles;Bruxelles;DE BOECK;2006;;;Français;595 p.;Perspectives Marketing;;832 CRO;MARKETING/MARKETING INTERNATIONAL/MARKETING LOCAL/MANAGEMENT GLOBAL/COMPETITIVITE/CONCURRENCE/CULTURE/MONDIALISATION/ENTREPRISE/MARCHE MONDIAL/TECHNOLOGIE NOUVELLE/SEGMENTATION/POLITIQUE INTERNATIONALE/COMMUNICATION;;;;2007-09-20
Justice pénale des mineurs (la);;Revue;YOUF Dominique;Paris;Documentation Française (la);2007;;;Français;120 p.;;;;JUSTICE PENALE/JUSTICE PENALE DES MINEURS/CENTRE EDUCATIF FERME/CEF;;n°935;avr-07;2018-03-12
Les budgets primitifs des Régions en 2004;;Ouvrage;MINISTERE DE L'INTERIEUR/DIRECTION GENERALE DES COLLECTIVITES LOCALES/DEPARTEMENT DES STATISTIQUES DES ETUDES ET DES TECHNIQUES LOCALES;paris;DGCL;2003;;;Français;78 p.;statistiques et finances locales;;2721 MIN;BUDGET PRIMITIF/BUDGET/REGION;;;;2018-04-23
L'évaluation du personnel;Un outil pour dynamiser votre politique RH;Ouvrage;VIGEANT Claire;Voiron;Territorial Editions;2008;;;Français;80 p.;Dossier d'Experts;;1414 VIG;EVALUATION/PERSONNEL/RESSOURCES HUMAINES/COLLECTIVITE/EMPLOI/TRAVAIL/CONDUITE D'ENTRETIEN/ENTRETIEN;;;;2010-02-08
Gouvernement et gouvernance des territoires;;Dossier;LE GALES Patrick;Paris;Documentation Française (la);2006;;;;115 p.;Problèmes politiques et sociaux;;2222 LEG;GOUVERNANCE/GOUVERNANCE DES TERRITOIRES/ETAT/RELATIONS ETAT REGION/RELATION ELUS-CITOYENS/PILOTAGE POLITIQUE/GOUVERNEMENT TERRITORIAL/GOUVERNEMENT/GOUVERNEMENT LOCAL;;n°922;mars-06;2006-05-09
Guide pratique des dotations de l'Etat aux collectivités locales;;Ouvrage;PHILOT David/CABURET Gwénaëlle;Paris;BERGER LEVRAULT;2006;;;;541 p.;Les indispensables;;272 PHI;COLLECTIVITES LOCALES/COLLECTIVITES TERRITORIALES/DOTATION GENERALE DE DECENTRALISATION/DOTATION/CONTRAT DE PLAN ETAT-REGIONS/ETAT/RELATIONS ETAT REGION/RELATIONS ETAT COLLECTIVITE LOCALE;;;;2006-09-29
Nouvelle loi sur le sport (La);Loi n°84-610 du 16 juillet 1984 relative à l'organisation et à la promotion des activités physiques et sportives modifiée par les lois Buffet et Lamour (2003 - 2004);Ouvrage;BAYEUX Patrick;Voiron;Presses Universitaires du Sport;2005;;;;121p.;Essentiel (l') sur;;63 BAY;SPORT/SPORT AMATEUR/SPORT DE COMPETITION/SPORT PROFESSIONNEL/SPORT SCOLAIRE/SPORT UNIVERSITAIRE/ASSOCIATION/FEDERATION SPORTIVE/EQUIPEMENT SPORTIF/SANTE/ASSURANCE/MANIFESTATION/SPORT DE NATURE/COLLECTIVITES TERRITORIALES/LEGISLATION;;;;2006-04-21
Les fédérations sportives;Le droit administratif à l'épreuve de groupements privés;Ouvrage;MOLLION Grégory;Paris;LGDJ - EJA;2005;;;;420 p.;Bibliothèque de Droit Public;;63 MOL;FEDERATION SPORTIVE/SPORT/ACTE ADMINISTRATIF/DROIT ADMINISTRATIF/JURISPRUDENCE/GROUPEMENT SPORTIF/STATUT JURIDIQUE/DELEGATION/AUTORITE ADMINISTRATIVE/ORGANISME ADMINISTRATIF;;;;2006-12-01
Le droit des interventions économiques des collectivités locales;;OUVRAGE;KOUEVI AMAVI-GUSTAVE;Paris;LGDJ;2003;;;;334;Décentralisation et Développement Local;;412 KOU;INTERVENTION ECONOMIQUE/AIDE LOCALE/AIDE AUX ENTREPRISES/COLLECTIVITE LOCALE/COMMUNE/DEPARTEMENT/REGION/POLITIQUE LOCALE/AIDE REGIONALE/DEVELOPPEMENT LOCAL/LEGISLATION/REGLEMENTATION/REGLEMENTATION COMMUNAUTAIRE/JURISPRUDENCE/CONVENTION/FINANCEMENT PUBLIC/ORGANISME FINANCIER/CREATION D'ENTREPRISE/PRET/CAPITAL RISQUE/FINANCEMENT DES ENTREPRISES/FONDS COMMUN DE PLACEMENT/EMPRUNT/GARANTIE/SOCIETE D'INVESTISSEMENT/AIDE A L'AGRICULTURE/AGRICULTURE/TOURISME/ENVIRONNEMENT/TELECOMMUNICATIONS/CINEMA/ART/AUDIOVISUEL/ENTREPRISE EN DIFFICULTE/MILIEU RURAL/ZONE RURALE/CATASTROPHE NATURELLE/AIDE DE L'ETAT/ANVAR/INNOVATION TECHNOLOGIQUE/PROCEDURE ADMINISTRATIVE/ACTION ADMINISTRATIVE/FEDR/FSE/FEOGA/AIDE DIRECTE/AIDE INDIRECTE/PRIME REGIONALE A LA CREATION D'ENTREPRISE/PRCE/PRE/PRIME REGIONALE A L'EMPLOI/IMMOBILIER D'ENTREPRISE/INCUBATEUR TECHNOLOGIQUE/PRET D'HONNEUR/CAPITAL-INVESTISSEMENT/PAT/PRIME A L'AMENAGEMENT DU TERRITOIRE/FDPMI/FONDS DE DEVELOPPEMENT DES PETITES ET MOYENNES INDUSTRIES/FONDS REGIONAL D'AIDE AU CONSEIL/FRAC/FONDS NATIONAL POUR L'AMENAGEMENT ET LE DEVELOPPEMENT DU TERRITOIRE/DOTATION DE DEVELOPPEMENT RURAL/FISAC/FONDS D'INTERVENTION ET DE SAUVEGARDE DE L'ARTISANAT ET DU COMMERCE/FRED/FONDS POUR LES RESTRUCTURATIONS DE LA DEFENSE/INSTRUMENT FINANCIER D'ORIENTATION DE LA PECHE/FONDS STRUCTUREL;;;;2005-10-06
L'atlas 2014 des enjeux matitimes;;Ouvrage;Collectif;Rennes;Marines Eds;2013;978-2-357-43125-6;;Français;124 P.;;;332 COL;ENVIRONNEMENT/MER/ATLAS/TRANSPORT MARITIME/CHARBON/PORT DE COMMERCE/FER/FRET/CEREALE/PETROLE/GAZ/GAZ NATUREL/CONTENEUR/ARMATEUR/ENERGIE MARINE/PECHE/AQUACULTURE/CONSTRUCTION NAVALE/ENERGIE OFFSHORE/FLOTTE MARITIME/FLOTTE DE PECHE/MARIN/NAVIRE;Hors-série;;;2014-11-02
La protection sociale en France;;Ouvrage;;Paris;La Documentation française;2013;978-2-11-009351-6;;Français;351 P. p.;Les notices;;144 MON;PROTECTION SOCIALE/QUESTIONS SOCIALES/INSTITUTIONS SOCIALES;;;;2014-01-31
2013-2014 les 10 ruptures qui changent le monde;Les Echos hors-série;Revue;Collectif;Paris;LesEchos SAS;2014;;2112-7077;;162 p.;;;411 COL;ECONOMIE/ECONOMIE MONDIALE/ECONOMIE NATIONALE/ECONOMIE GENERALE/ECONOMIE EUROPEENNE/BILAN ECONOMIQUE/BILAN MONDIAL/FRANCE/CONCOURS ADMINISTRATIF/ACTUALITE;;;;2018-11-30
La ville durable après le grenelle de l'environnement;;Ouvrage;PISSALOUX Jean-Luc/ORANGE Gérald;Paris;L'Harmattan;2013;978-2-336-29035-5;;Français;258 p.;GRALE;;326 PIS;ENVIRONNEMENT/GRENELLE DE L'ENVIRONNEMENT/DEVELOPPEMENT DURABLE/DEVELOPPEMENT DURABLE URBAIN/ECODIVERSITE/POLITIQUE URBAINE/VILLE/VILLE DURABLE/NANTES /ADMINISTRATION LOCALE;;;;2013-12-30
Réussir la planification et l'aménagement durables;;Ouvrage;Collectif;Paris;Editions le Moniteur;2013;978-2-281-12732-4;;Français;271 P.;;;3114 COL;AMENAGEMENT DU TERRITOIRE/POLITIQUE DE L'AMENAGEMENT DU TERRITOIRE/PLANIFICATION/DEVELOPPEMENT DURABLE/VILLE/TERRITOIRE/URBANISME/URBANISME DURABLE/ADEME/GUIDE/AEU2/SCOT/PLU/PLAN D'AMENAGEMENT;;;;2013-11-21
Les véritables enjeux des élections municipales;;Dossier;;Nantes;Association Mémoire et débats;2013;;1955-6020;Français;p.5-67;PLACE PUBLIQUE;N°42;223 COL;ADMINISTRATION/INSTITUTIONS/ELECTION/ELECTION MUNICIPALE/ELECTION MUNICIPALE 2014/OUEST/NANTES /FRANCE/INTERCOMMUNALITE/GAUCHE/DROITE/CLIVAGE POLITIQUE/DEMOCRATIE PARTICIPATIVE/ELU/ELU LOCAL/MAIRE;;;;2018-12-18
L'assainissement non collectif;;Ouvrage;BRIGAND Sylvain;Voiron;Territorial Editions;2012;978-2-8186-0467-0;;Français;165 p.;DOSSIER D'EXPERTS;;322 BRI;ENVIRONNEMENT/EAU/ASSAINISSEMENT/MILIEU AQUATIQUE/GRENELLE 2/GRENELLE DE L'ENVIRONNEMENT/REDEVANCE/TAXE/EPANDAGE;;;;2013-09-16
T'es toi quand tu parles;Jalons pour une grammaire relationnelle;Ouvrage;SALOME Jacques;Paris;Albin Michel;2013;;;Français;183 p.;Pocket;N°12509;1414 SAL;RESSOURCES HUMAINES/PSYCHOLOGIE/RELATION ENTRE INDIVIDU/COMMUNICATION/COMMUNICATION SOCIALE/RELATIONNEL/PARTAGE/SAVOIR-ETRE/SAVOIR-VIVRE/SAVOIR-FAIRE/EMOTION;;;;2013-06-09
La politique de développement des énergies renouvelables;Rapport public;Ouvrage format pdf;;Paris;Cour des Comptes;2013;;;Français;241 p.;;;32;ENVIRONNEMENT/ENERGIE/ENERGIE RENOUVELABLE/PRODUCTION D'ENERGIE/ELECTRICITE/ENERGIE SOLAIRE;;;;2013-07-26
La formation à l'épreuve du numérique;;Revue;;Paris;AFPA;2013;;;Français;218 P.;EDUCATION PERMANENTE;;7253 SAN;EDUCATION/FORMATION/FORMATION DES ADULTES/NTIC/SAVOIR/NUMERIQUE/FRACTURE NUMERIQUE/REVOLUTION NUMERIQUE;;Hors-série;;2013-07-25
Bibliothèques numériques;Logiciels et plateformes;Ouvrage;ANDRO Mathieu/ASSELIN Emmanuelle/MAISONNEUVE Marc;Paris;ADBS Editions;2012;978-2-84365-140-3;;Français;351 p.;SCIENCES ET TECHNIQUES DE L'INFORMATION;;725 AND;CULTURE/LECTURE/BIBLIOTHEQUE/BIBLIOTHEQUE NUMERIQUE/BIBLIOTHEQUE EN LIGNE/LOGICIEL/PLATEFORME /SCIENCES DE L'INFORMATION/SCIENCES ET TECHNIQUES DE L'INFORMATION/ANALYSE DE LOGICIEL/HAL/GALLICA/LIVRE NUMERIQUE/LIVRE ELECTRONIQUE;;;;2013-07-25
L'enfant et les écrans;Un Avis de l'Académie des sciences;Ouvrage;BACH Jean-François/HOUDE Olivier/LENA Pierre/TISSERON Serge;Paris;Le Pommier;2013;978-2-7465-0649-7;;Français;267 p.;HORS COLLECTION;;143 BAC;SOCIETE/SOCIOLOGIE/SOCIOLOGIE DE LA COMMUNICATION/COMMUNICATION/ENFANT/NUMERIQUE/CONSOMMATION/ECRAN/VIDEO/VIOLENCE/VIRTUEL/TELEVISION/TELEPHONE/TABLETTE/JEU VIDEO/SANTE/INFORMATIQUE/PROTECTION DE L'ENFANCE/CINEMA/COGNITION;;;;2013-11-07
La lecture rapide;;Ouvrage;BUZAN Tony;Paris;Eyrolles;2012;978-2-212-55215-7;;Français;236 p.;LES GUIDES BUZAN;;1414 BUZ;RESSOURCES HUMAINES/LECTURE/LECTURE RAPIDE/CONCOURS/CONCOURS ADMINISTRATIF;;;;2013-06-21
Travail, les raisons de la colère;;Ouvrage;GAULEJAC Vincent DE;Paris;Seuil;2011;978-2-02-103895-8;;Français;334 p.;ECONOMIE HUMAINE;;1414 DEG;RESSOURCES HUMAINES/SOCIOLOGIE/SOCIOLOGIE DU TRAVAIL/TRAVAIL/SOUFFRANCE/MAL-ETRE/VIOLENCE/HARCELEMENT/RISQUE PSYCHOSOCIAL/EVALUATION PROFESSIONNELLE/RGPP/ORGANISATION DU TRAVAIL/MANAGEMENT;;;;2019-01-31
Estuaire Nantes - Saint Nazaire Ecométropole;Mode d'emploi;Ouvrage;;Paris;Editions le Moniteur;2012;978-2-281-19543-9;;;207 p.;PROJETURBAIN;;3122 MAS;URBANISME/VILLE/NANTES /METROPOLE NANTES SAINT-NAZAIRE/METROPOLE/SAINT NAZAIRE/ENVIRONNEMENT/ECOLOGIE/ECOLOGIE URBAINE/CULTURE /DEPLACEMENT/ILE DE NANTES/2030/AEROPORT NOTRE DAME DES LANDES/NOTRE DAME DE NANTES/ESTUAIRE DE LA LOIRE;;;;2013-06-13
Le tourisme culturel;;Ouvrage;LEHALLE Evelyne;Voiron;Territorial Editions;2011;978-2-8186-0250-8;;Français;161 p.;DOSSIER D'EXPERTS;;62 LEH;TOURISME/CULTURE/TOURISME CULTUREL/SITE CULTUREL;;;;2013-05-30
Le contrôle de gestion dans les collectivités territoriales;Une approche sociologique;Ouvrage;EVAH-MANGA Emmanuel;Paris;L'Harmattan;2012;978-2-336-00150-0;;;432 p.;FINANCES PUBLIQUES;;2243 EVA;INSTITUTIONS/INSTITUTIONS REGIONALES/COLLECTIVITES TERRITORIALES/COLLECTIVITES LOCALES/POLITIQUE PUBLIQUE/ACTION ADMINISTRATIVE/CONTROLE/CONTROLE ADMINISTRATIF/CONTROLE DE GESTION/FINANCES PUBLIQUES/CONTROLE BUDGETAIRE/CONTROLE INTERNE;;;;2013-05-04
La France, une géographie urbaine;;Ouvrage;;Paris;Armand Colin;2011;978-2-200-25579-4;;Français;365 p.;U;;11 CAI;GEOGRAPHIE/GEOGRAPHIE URBAINE/FRANCE/VILLE/CROISSANCE URBAINE/ESPACE URBAIN/METROPOLE/SOCIETE URBAINE/BANLIEUE/ENVIRONNEMENT /VILLE DURABLE/ECOLOGIE URBAINE/ECOLOGIE/TOURISME/ESPACE URBAIN;;;;2012-02-10
